timestamp,open,high,low,close,volume,source
1968-04-01 00:00:00+00:00,37.7,37.7,37.7,37.7,0.0,lbma_gold_pm_usd
1968-04-02 00:00:00+00:00,37.3,37.3,37.3,37.3,0.0,lbma_gold_pm_usd
1968-04-03 00:00:00+00:00,37.6,37.6,37.6,37.6,0.0,lbma_gold_pm_usd
1968-04-04 00:00:00+00:00,36.95,36.95,36.95,36.95,0.0,lbma_gold_pm_usd
1968-04-05 00:00:00+00:00,37.0,37.0,37.0,37.0,0.0,lbma_gold_pm_usd
1968-04-08 00:00:00+00:00,37.05,37.05,37.05,37.05,0.0,lbma_gold_pm_usd
1968-04-09 00:00:00+00:00,37.5,37.5,37.5,37.5,0.0,lbma_gold_pm_usd
1968-04-10 00:00:00+00:00,37.7,37.7,37.7,37.7,0.0,lbma_gold_pm_usd
1968-04-11 00:00:00+00:00,38.0,38.0,38.0,38.0,0.0,lbma_gold_pm_usd
1968-04-16 00:00:00+00:00,38.0,38.0,38.0,38.0,0.0,lbma_gold_pm_usd
1968-04-17 00:00:00+00:00,37.8,37.8,37.8,37.8,0.0,lbma_gold_pm_usd
1968-04-18 00:00:00+00:00,37.55,37.55,37.55,37.55,0.0,lbma_gold_pm_usd
1968-04-19 00:00:00+00:00,37.65,37.65,37.65,37.65,0.0,lbma_gold_pm_usd
1968-04-22 00:00:00+00:00,38.0,38.0,38.0,38.0,0.0,lbma_gold_pm_usd
1968-04-23 00:00:00+00:00,38.4,38.4,38.4,38.4,0.0,lbma_gold_pm_usd
1968-04-24 00:00:00+00:00,38.25,38.25,38.25,38.25,0.0,lbma_gold_pm_usd
1968-04-25 00:00:00+00:00,38.3,38.3,38.3,38.3,0.0,lbma_gold_pm_usd
1968-04-26 00:00:00+00:00,38.65,38.65,38.65,38.65,0.0,lbma_gold_pm_usd
1968-04-29 00:00:00+00:00,38.75,38.75,38.75,38.75,0.0,lbma_gold_pm_usd
1968-04-30 00:00:00+00:00,39.1,39.1,39.1,39.1,0.0,lbma_gold_pm_usd
1968-05-01 00:00:00+00:00,39.2,39.2,39.2,39.2,0.0,lbma_gold_pm_usd
1968-05-02 00:00:00+00:00,39.45,39.45,39.45,39.45,0.0,lbma_gold_pm_usd
1968-05-03 00:00:00+00:00,39.1,39.1,39.1,39.1,0.0,lbma_gold_pm_usd
1968-05-06 00:00:00+00:00,39.75,39.75,39.75,39.75,0.0,lbma_gold_pm_usd
1968-05-07 00:00:00+00:00,39.3,39.3,39.3,39.3,0.0,lbma_gold_pm_usd
1968-05-08 00:00:00+00:00,39.75,39.75,39.75,39.75,0.0,lbma_gold_pm_usd
1968-05-09 00:00:00+00:00,39.7,39.7,39.7,39.7,0.0,lbma_gold_pm_usd
1968-05-10 00:00:00+00:00,39.6,39.6,39.6,39.6,0.0,lbma_gold_pm_usd
1968-05-13 00:00:00+00:00,39.5,39.5,39.5,39.5,0.0,lbma_gold_pm_usd
1968-05-14 00:00:00+00:00,39.8,39.8,39.8,39.8,0.0,lbma_gold_pm_usd
1968-05-15 00:00:00+00:00,40.25,40.25,40.25,40.25,0.0,lbma_gold_pm_usd
1968-05-16 00:00:00+00:00,41.25,41.25,41.25,41.25,0.0,lbma_gold_pm_usd
1968-05-17 00:00:00+00:00,41.5,41.5,41.5,41.5,0.0,lbma_gold_pm_usd
1968-05-20 00:00:00+00:00,42.3,42.3,42.3,42.3,0.0,lbma_gold_pm_usd
1968-05-21 00:00:00+00:00,42.4,42.4,42.4,42.4,0.0,lbma_gold_pm_usd
1968-05-22 00:00:00+00:00,41.55,41.55,41.55,41.55,0.0,lbma_gold_pm_usd
1968-05-23 00:00:00+00:00,41.4,41.4,41.4,41.4,0.0,lbma_gold_pm_usd
