timestamp,open,high,low,close,volume
2003-05-05 00:00:00+00:00,340.345,340.843,339.81,340.036,0.08044
2003-05-05 01:00:00+00:00,340.461,341.255,339.955,339.987,0.06713
2003-05-05 02:00:00+00:00,340.134,340.472,339.813,339.989,0.04817
2003-05-05 03:00:00+00:00,340.347,340.549,339.842,340.009,0.08877
2003-05-05 04:00:00+00:00,340.221,340.604,339.734,340.231,0.103181
2003-05-05 06:00:00+00:00,340.429,340.538,339.849,340.092,0.09
2003-05-05 07:00:00+00:00,340.423,340.523,339.806,340.305,0.08
2003-05-05 08:00:00+00:00,339.748,341.106,339.748,340.608,0.08
2003-05-05 09:00:00+00:00,340.754,341.31,340.443,341.08,0.09
2003-05-05 10:00:00+00:00,341.279,341.315,340.75,341.028,0.01
2003-05-05 11:00:00+00:00,340.86,341.393,340.55,341.223,0.54
2003-05-05 12:00:00+00:00,340.832,341.344,340.513,340.952,0.72
2003-05-05 13:00:00+00:00,340.907,341.394,340.512,341.052,0.78
2003-05-05 14:00:00+00:00,341.06,341.497,340.184,340.906,0.86
2003-05-05 15:00:00+00:00,341.459,342.145,340.966,341.241,0.89
2003-05-05 16:00:00+00:00,341.496,342.588,341.231,341.964,0.83
2003-05-05 17:00:00+00:00,341.568,342.282,341.344,341.344,0.06
2003-05-05 18:00:00+00:00,341.501,342.2,341.258,341.51,0.06
2003-05-05 19:00:00+00:00,341.76,341.962,341.286,341.639,0.05
2003-05-05 20:00:00+00:00,341.508,341.891,341.261,341.887,0.05
2003-05-05 21:00:00+00:00,341.485,341.954,341.383,341.453,0.05
2003-05-05 22:00:00+00:00,341.626,341.868,341.216,341.778,0.05
2003-05-05 23:00:00+00:00,341.5,341.868,341.196,341.315,0.09
2003-05-06 00:00:00+00:00,341.534,341.987,340.996,341.193,0.08
2003-05-06 01:00:00+00:00,341.174,341.638,340.689,341.355,0.08
2003-05-06 02:00:00+00:00,341.187,341.574,340.801,341.136,0.09
2003-05-06 03:00:00+00:00,341.124,341.499,340.551,341.192,0.07
2003-05-06 04:00:00+00:00,340.64,341.396,340.64,340.801,0.09
2003-05-06 05:00:00+00:00,340.925,341.219,340.329,340.527,0.1
2003-05-06 06:00:00+00:00,340.756,341.19,340.276,340.988,0.07
2003-05-06 07:00:00+00:00,340.832,341.915,340.832,341.534,0.96
2003-05-06 08:00:00+00:00,341.72,342.646,341.684,342.503,1.04
2003-05-06 09:00:00+00:00,342.032,342.495,341.76,342.169,1.07
2003-05-06 10:00:00+00:00,341.753,342.474,341.121,341.851,0.9
2003-05-06 11:00:00+00:00,342.147,343.557,342.062,342.54,0.89
2003-05-06 12:00:00+00:00,342.811,344.077,342.174,343.967,0.69
2003-05-06 13:00:00+00:00,343.826,344.069,343.586,344.045,0.01
2003-05-06 14:00:00+00:00,343.855,344.208,343.599,343.812,0.08
2003-05-06 15:00:00+00:00,343.79,343.993,342.3,342.555,0.09
2003-05-06 16:00:00+00:00,342.776,342.776,341.913,342.417,0.06
2003-05-06 17:00:00+00:00,342.126,342.373,341.438,341.906,0.07
2003-05-06 18:00:00+00:00,341.522,342.027,341.178,341.76,0.06
2003-05-06 19:00:00+00:00,341.788,342.374,341.565,341.813,0.09
2003-05-06 20:00:00+00:00,341.897,342.783,341.813,342.367,0.09
2003-05-06 22:00:00+00:00,342.651,343.669,342.33,343.148,0.07
2003-05-06 23:00:00+00:00,343.527,343.824,343.081,343.282,0.09
2003-05-07 00:00:00+00:00,343.447,343.862,343.217,343.554,0.06
2003-05-07 01:00:00+00:00,343.457,344.059,343.406,343.669,0.05
2003-05-07 02:00:00+00:00,343.492,343.955,343.123,343.484,0.05
2003-05-07 03:00:00+00:00,343.869,343.928,343.086,343.359,0.09
2003-05-07 04:00:00+00:00,343.452,343.938,343.117,343.419,0.09
2003-05-07 05:00:00+00:00,343.529,344.078,343.281,343.57,0.08
2003-05-07 06:00:00+00:00,344.08,344.185,343.198,343.509,0.09
2003-05-07 07:00:00+00:00,343.602,343.608,342.349,342.854,0.09
2003-05-07 08:00:00+00:00,342.526,342.934,342.182,342.57,0.12
2003-05-07 09:00:00+00:00,342.113,342.613,341.345,341.614,0.09
2003-05-07 10:00:00+00:00,342.043,342.732,341.765,342.186,0.01
2003-05-07 11:00:00+00:00,342.298,343.003,342.094,342.812,0.65
2003-05-07 12:00:00+00:00,342.553,343.194,342.282,342.725,0.82
2003-05-07 13:00:00+00:00,342.928,343.951,342.687,343.305,0.94
2003-05-07 14:00:00+00:00,342.827,343.274,340.991,342.223,0.86
2003-05-07 15:00:00+00:00,342.443,342.443,339.856,340.59,0.83
2003-05-07 16:00:00+00:00,340.846,341.02,339.005,340.005,0.89
2003-05-07 17:00:00+00:00,340.098,340.944,339.772,340.667,0.07
2003-05-07 18:00:00+00:00,340.872,341.978,340.719,341.069,0.09
2003-05-07 19:00:00+00:00,341.075,341.645,340.967,341.162,0.07
2003-05-07 21:00:00+00:00,341.385,341.64,341.013,341.366,0.05
2003-05-07 23:00:00+00:00,341.332,341.59,341.081,341.228,0.02
2003-05-08 00:00:00+00:00,341.278,341.556,341.007,341.279,0.02
2003-05-08 01:00:00+00:00,341.029,341.559,340.86,340.894,0.07
2003-05-08 02:00:00+00:00,341.098,341.758,340.983,341.322,0.08
2003-05-08 03:00:00+00:00,341.404,341.868,341.146,341.48,0.04
2003-05-08 04:00:00+00:00,341.245,341.841,341.059,341.059,0.07
2003-05-08 05:00:00+00:00,341.381,341.76,341.01,341.535,0.1
2003-05-08 06:00:00+00:00,341.341,341.758,340.709,340.78,0.08
2003-05-08 07:00:00+00:00,340.661,341.092,340.158,340.281,0.95
2003-05-08 08:00:00+00:00,340.371,340.742,339.956,340.551,0.96
2003-05-08 09:00:00+00:00,340.319,341.07,339.998,340.584,0.96
2003-05-08 10:00:00+00:00,340.59,341.163,340.304,340.687,0.77
2003-05-08 11:00:00+00:00,340.772,341.41,340.498,340.619,0.72
2003-05-08 12:00:00+00:00,341.198,342.847,340.98,342.847,0.58
2003-05-08 13:00:00+00:00,342.808,343.342,342.703,343.14,0.02
2003-05-08 14:00:00+00:00,342.723,343.655,342.723,343.403,0.12
2003-05-08 15:00:00+00:00,343.521,344.384,343.262,344.106,0.12
2003-05-08 16:00:00+00:00,344.45,345.041,344.031,344.764,0.08
2003-05-08 17:00:00+00:00,344.868,345.572,344.571,345.342,0.09
2003-05-08 18:00:00+00:00,345.28,346.494,345.174,346.003,0.08
2003-05-08 19:00:00+00:00,346.304,347.217,346.055,346.85,0.06
2003-05-08 20:00:00+00:00,346.902,348.054,346.799,347.732,0.1
2003-05-08 21:00:00+00:00,347.801,348.131,347.5,347.704,0.06
2003-05-08 22:00:00+00:00,347.658,348.117,347.221,347.294,0.06
2003-05-08 23:00:00+00:00,347.526,347.732,346.974,347.382,0.08
2003-05-09 00:00:00+00:00,347.333,347.719,346.962,347.303,0.08
2003-05-09 01:00:00+00:00,347.231,347.457,346.192,346.419,0.07
2003-05-09 02:00:00+00:00,346.395,346.974,345.953,346.733,0.07
2003-05-09 03:00:00+00:00,346.997,346.997,346.239,346.518,0.07
2003-05-09 04:00:00+00:00,346.579,346.857,346.211,346.77,0.07
2003-05-09 05:00:00+00:00,346.492,346.755,345.879,346.323,0.1
2003-05-09 06:00:00+00:00,346.298,346.71,345.919,346.196,0.07
2003-05-09 07:00:00+00:00,346.529,346.529,345.82,346.022,0.01
2003-05-09 08:00:00+00:00,346.156,347.86,345.957,347.791,0.63
2003-05-09 09:00:00+00:00,347.533,347.968,347.126,347.435,0.96
2003-05-09 10:00:00+00:00,347.52,348.333,347.285,348.048,0.82
2003-05-09 11:00:00+00:00,348.173,348.577,347.704,347.704,0.83
2003-05-09 12:00:00+00:00,348.202,348.259,347.519,347.884,0.78
2003-05-09 13:00:00+00:00,347.531,348.054,346.385,347.06,0.71
2003-05-09 14:00:00+00:00,347.236,347.875,346.959,347.806,0.05
2003-05-09 15:00:00+00:00,347.524,347.906,347.209,347.438,0.08
2003-05-09 16:00:00+00:00,347.31,348.042,347.043,347.614,0.05
2003-05-09 17:00:00+00:00,348.063,348.116,347.239,347.521,0.04
2003-05-09 18:00:00+00:00,347.623,348.348,347.231,347.737,0.05
2003-05-09 19:00:00+00:00,347.797,348.267,347.678,347.924,0.05
2003-05-09 23:00:00+00:00,348.3,348.7,348.2,348.3,3.0
2003-05-11 20:00:00+00:00,347.971,348.374,347.723,348.118,8.09
2003-05-12 00:00:00+00:00,348.163,348.704,347.802,348.178,0.13
2003-05-12 01:00:00+00:00,348.478,349.116,348.292,348.861,0.15
2003-05-12 02:00:00+00:00,348.849,349.329,348.613,349.099,0.11
2003-05-12 03:00:00+00:00,349.003,349.574,348.804,348.828,0.17
2003-05-12 04:00:00+00:00,348.762,349.375,348.583,348.888,0.2
2003-05-12 05:00:00+00:00,348.83,349.263,348.621,348.843,0.19
2003-05-12 06:00:00+00:00,348.899,349.174,348.196,348.51,0.08
2003-05-12 07:00:00+00:00,348.2,348.632,347.725,348.232,0.13
