timestamp,open,high,low,close,volume
2025-06-30 00:00:00+00:00,3273.25,3281.74,3247.06,3249.3,8259.0
2025-06-30 00:30:00+00:00,3249.52,3265.59,3248.81,3263.68,5054.0
2025-06-30 01:00:00+00:00,3263.8199999999997,3270.77,3263.67,3268.29,4271.0
2025-06-30 01:30:00+00:00,3268.4700000000003,3270.04,3262.8,3263.72,3901.0
2025-06-30 02:00:00+00:00,3263.8,3269.56,3263.0,3268.33,4471.0
2025-06-30 02:30:00+00:00,3268.51,3268.87,3262.61,3264.55,4518.0
2025-06-30 03:00:00+00:00,3264.63,3275.76,3259.44,3275.1,7724.0
2025-06-30 03:30:00+00:00,3275.26,3275.87,3271.01,3273.89,5711.0
2025-06-30 04:00:00+00:00,3274.0699999999997,3282.51,3273.63,3280.32,5850.0
2025-06-30 04:30:00+00:00,3280.48,3283.21,3277.26,3280.17,4369.0
2025-06-30 05:00:00+00:00,3280.3,3282.65,3278.15,3278.96,4350.0
2025-06-30 05:30:00+00:00,3279.01,3281.07,3277.89,3278.9,3114.0
2025-06-30 06:00:00+00:00,3279.09,3281.4,3276.92,3278.04,2895.0
2025-06-30 06:30:00+00:00,3278.26,3286.24,3278.06,3285.61,2832.0
2025-06-30 07:00:00+00:00,3285.71,3288.81,3284.64,3288.0,3586.0
2025-06-30 07:30:00+00:00,3288.17,3291.25,3286.2,3288.89,4548.0
2025-06-30 08:00:00+00:00,3289.05,3291.62,3287.8,3290.61,4482.0
2025-06-30 08:30:00+00:00,3290.75,3295.44,3289.28,3292.03,5191.0
2025-06-30 09:00:00+00:00,3292.12,3296.7,3291.0,3295.08,4781.0
2025-06-30 09:30:00+00:00,3295.2200000000003,3296.34,3290.67,3292.84,4476.0
2025-06-30 10:00:00+00:00,3292.9,3296.49,3291.12,3292.98,4779.0
2025-06-30 10:30:00+00:00,3293.16,3293.38,3288.11,3289.07,4297.0
2025-06-30 11:00:00+00:00,3289.21,3289.06,3281.37,3284.35,5504.0
2025-06-30 11:30:00+00:00,3284.51,3287.86,3277.4,3287.76,6396.0
2025-06-30 12:00:00+00:00,3287.92,3288.71,3284.58,3285.94,3533.0
2025-06-30 12:30:00+00:00,3286.1,3286.67,3282.4,3283.48,3822.0
